trainer/global_step,_step,lr-AdamW/pg4,lr-AdamW/pg1,lr-AdamW/pg2,_runtime,lr-AdamW/pg3,_timestamp,epoch,train/loss_step,val/age_loss,val/medae,val/recon_loss,val/loss,val/mae,val/r2,train/recon_loss,train/age_loss,train/loss_epoch,train/mae,train/r2,train/medae,test/mae,test/loss,test/r2,test/recon_loss,test/medae,test/age_loss
279,146,0.0,5.580000000000001e-05,5.580000000000001e-05,866.599439159,0.0,1778750783.5834014,,,,,,,,,,,,,,,,,,,,
279,147,,,,867.270170744,,1778750784.2541785,4.0,0.024723511189222336,,,,,,,,,,,,,,,,,,
284,148,,,,904.569321693,,1778750821.5534174,4.0,,0.02939029596745968,4.2537841796875,0.0,0.02939029596745968,6.183175086975098,0.8939954042434692,,,,,,,,,,,,
284,149,,,,904.979784328,,1778750821.9637475,4.0,,,,,,,,0.0,0.02570599690079689,0.02570599690079689,5.585482120513916,0.9154577851295471,4.0,,,,,,
289,150,0.0,5.7799999999999995e-05,5.7799999999999995e-05,915.963140714,0.0,1778750832.9470625,,,,,,,,,,,,,,,,,,,,
289,151,0.0,5.7799999999999995e-05,5.7799999999999995e-05,916.634119879,0.0,1778750833.6180851,,,,,,,,,,,,,,,,,,,,
289,152,0.0,5.7799999999999995e-05,5.7799999999999995e-05,917.304524331,0.0,1778750834.2885423,,,,,,,,,,,,,,,,,,,,
289,153,0.0,5.7799999999999995e-05,5.7799999999999995e-05,917.974691949,0.0,1778750834.9588597,,,,,,,,,,,,,,,,,,,,
289,154,,,,918.645554007,,1778750835.62958,5.0,0.024085255339741707,,,,,,,,,,,,,,,,,,
299,155,0.0,5.9800000000000003e-05,5.9800000000000003e-05,942.768555755,0.0,1778750859.7526736,,,,,,,,,,,,,,,,,,,,
299,156,0.0,5.9800000000000003e-05,5.9800000000000003e-05,943.439013907,0.0,1778750860.423004,,,,,,,,,,,,,,,,,,,,
299,157,0.0,5.9800000000000003e-05,5.9800000000000003e-05,944.109462325,0.0,1778750861.0934381,,,,,,,,,,,,,,,,,,,,
299,158,0.0,5.9800000000000003e-05,5.9800000000000003e-05,944.779757192,0.0,1778750861.7637558,,,,,,,,,,,,,,,,,,,,
299,159,,,,945.450574753,,1778750862.434641,5.0,0.016376322135329247,,,,,,,,,,,,,,,,,,
309,160,0.0,6.18e-05,6.18e-05,969.572447056,0.0,1778750886.556415,,,,,,,,,,,,,,,,,,,,
309,161,0.0,6.18e-05,6.18e-05,970.242894882,0.0,1778750887.226872,,,,,,,,,,,,,,,,,,,,
309,162,0.0,6.18e-05,6.18e-05,970.913325963,0.0,1778750887.8973482,,,,,,,,,,,,,,,,,,,,
309,163,0.0,6.18e-05,6.18e-05,971.58398146,0.0,1778750888.5679677,,,,,,,,,,,,,,,,,,,,
309,164,,,,972.25468515,,1778750889.238703,5.0,0.022457532584667206,,,,,,,,,,,,,,,,,,
319,165,0.0,6.38e-05,6.38e-05,996.377823703,0.0,1778750913.3617587,,,,,,,,,,,,,,,,,,,,
319,166,0.0,6.38e-05,6.38e-05,997.048054362,0.0,1778750914.032029,,,,,,,,,,,,,,,,,,,,
319,167,0.0,6.38e-05,6.38e-05,997.718440825,0.0,1778750914.702462,,,,,,,,,,,,,,,,,,,,
319,168,0.0,6.38e-05,6.38e-05,998.388944584,0.0,1778750915.3729513,,,,,,,,,,,,,,,,,,,,
319,169,,,,999.059541453,,1778750916.043538,5.0,0.022354889661073685,,,,,,,,,,,,,,,,,,
329,170,0.0,6.58e-05,6.58e-05,1023.183107618,0.0,1778750940.1670995,,,,,,,,,,,,,,,,,,,,
329,171,0.0,6.58e-05,6.58e-05,1023.853605857,0.0,1778750940.8376055,,,,,,,,,,,,,,,,,,,,
329,172,0.0,6.58e-05,6.58e-05,1024.523975985,0.0,1778750941.5079772,,,,,,,,,,,,,,,,,,,,
329,173,0.0,6.58e-05,6.58e-05,1025.194457059,0.0,1778750942.1784701,,,,,,,,,,,,,,,,,,,,
329,174,,,,1025.865314177,,1778750942.8493247,5.0,0.025332052260637283,,,,,,,,,,,,,,,,,,
339,175,0.0,6.780000000000001e-05,6.780000000000001e-05,1049.98111787,0.0,1778750966.9651039,,,,,,,,,,,,,,,,,,,,
339,176,0.0,6.780000000000001e-05,6.780000000000001e-05,1050.65023696,0.0,1778750967.6343951,,,,,,,,,,,,,,,,,,,,
339,177,0.0,6.780000000000001e-05,6.780000000000001e-05,1051.319185975,0.0,1778750968.3033326,,,,,,,,,,,,,,,,,,,,
339,178,0.0,6.780000000000001e-05,6.780000000000001e-05,1051.987886869,0.0,1778750968.972073,,,,,,,,,,,,,,,,,,,,
339,179,,,,1052.656865528,,1778750969.6410732,5.0,0.023849768564105034,,,,,,,,,,,,,,,,,,
341,180,,,,1081.96176165,,1778750998.9456952,5.0,,0.03360362723469734,4.8732452392578125,0.0,0.03360362723469734,6.834264755249023,0.8733682036399841,,,,,,,,,,,,
341,181,,,,1081.965323035,,1778750998.9494748,5.0,,,,,,,,0.0,0.026254693046212196,0.026254693046212196,5.681303977966309,0.9122787117958069,4.047740936279297,,,,,,
349,182,0.0,6.98e-05,6.98e-05,1101.077538105,0.0,1778751018.06148,,,,,,,,,,,,,,,,,,,,
349,183,0.0,6.98e-05,6.98e-05,1101.74791619,0.0,1778751018.7319121,,,,,,,,,,,,,,,,,,,,
349,184,0.0,6.98e-05,6.98e-05,1102.41801099,0.0,1778751019.4020252,,,,,,,,,,,,,,,,,,,,
349,185,0.0,6.98e-05,6.98e-05,1103.088536917,0.0,1778751020.0726893,,,,,,,,,,,,,,,,,,,,
349,186,,,,1103.759143304,,1778751020.7431405,6.0,0.037796325981616974,,,,,,,,,,,,,,,,,,
359,187,0.0,7.18e-05,7.18e-05,1127.877825039,0.0,1778751044.861973,,,,,,,,,,,,,,,,,,,,
359,188,0.0,7.18e-05,7.18e-05,1128.548686787,0.0,1778751045.5326478,,,,,,,,,,,,,,,,,,,,
359,189,0.0,7.18e-05,7.18e-05,1129.219162575,0.0,1778751046.2031415,,,,,,,,,,,,,,,,,,,,
359,190,0.0,7.18e-05,7.18e-05,1129.889431002,0.0,1778751046.873419,,,,,,,,,,,,,,,,,,,,
359,191,,,,1130.559857397,,1778751047.543893,6.0,0.023013021796941757,,,,,,,,,,,,,,,,,,
369,192,0.0,7.38e-05,7.38e-05,1154.681773395,0.0,1778751071.6656973,,,,,,,,,,,,,,,,,,,,
369,193,0.0,7.38e-05,7.38e-05,1155.352071944,0.0,1778751072.3361154,,,,,,,,,,,,,,,,,,,,
369,194,0.0,7.38e-05,7.38e-05,1156.022543963,0.0,1778751073.0065417,,,,,,,,,,,,,,,,,,,,
369,195,0.0,7.38e-05,7.38e-05,1156.692698296,0.0,1778751073.6766741,,,,,,,,,,,,,,,,,,,,
369,196,,,,1157.363258598,,1778751074.3472788,6.0,0.021803271025419235,,,,,,,,,,,,,,,,,,
379,197,0.0,7.58e-05,7.58e-05,1181.481993311,0.0,1778751098.465958,,,,,,,,,,,,,,,,,,,,
379,198,0.0,7.58e-05,7.58e-05,1182.152255462,0.0,1778751099.1362252,,,,,,,,,,,,,,,,,,,,
379,199,0.0,7.58e-05,7.58e-05,1182.822754369,0.0,1778751099.8069336,,,,,,,,,,,,,,,,,,,,
379,200,0.0,7.58e-05,7.58e-05,1183.493293646,0.0,1778751100.4772635,,,,,,,,,,,,,,,,,,,,
379,201,,,,1184.163823699,,1778751101.1478353,6.0,0.02145780250430107,,,,,,,,,,,,,,,,,,
389,202,0.0,7.780000000000001e-05,7.780000000000001e-05,1208.284161879,0.0,1778751125.2680516,,,,,,,,,,,,,,,,,,,,
389,203,0.0,7.780000000000001e-05,7.780000000000001e-05,1208.954437307,0.0,1778751125.9384181,,,,,,,,,,,,,,,,,,,,
389,204,0.0,7.780000000000001e-05,7.780000000000001e-05,1209.624821889,0.0,1778751126.6088169,,,,,,,,,,,,,,,,,,,,
