split,label_age,model_mse,b1_mse,b3_mse,b4_mse
unknown,11.0,0.004295518,0.10913006,0.0045138886,0.026932055
unknown,9.916666984558105,0.0044472325,0.10691423,0.004282619,0.013618297
unknown,17.83333396911621,0.005288698,0.10865562,0.0055294293,0.045221478
unknown,13.583333015441895,0.008100387,0.11516039,0.011021957,0.02129454
unknown,7.75,0.0043639326,0.10983805,0.005107358,0.025574487
unknown,5.833333492279053,0.0045055654,0.11016283,0.0043978994,0.032090794
unknown,9.916666984558105,0.0041220165,0.10786277,0.004136454,0.024964683
unknown,14.666666984558105,0.0058404924,0.108957164,0.0055288924,0.030338109
unknown,9.0,0.0040028454,0.10843276,0.0039438745,0.019377949
unknown,5.666666507720947,0.0041995654,0.10962046,0.004157294,0.01760554
unknown,6.583333492279053,0.004622721,0.10898968,0.0052018035,0.034994207
unknown,13.5,0.004330786,0.10865692,0.0044391514,0.021851698
unknown,10.583333015441895,0.0043025813,0.10864833,0.0041326573,0.031099815
unknown,5.916666507720947,0.004570964,0.109929144,0.005555334,0.037398577
unknown,13.416666984558105,0.004360572,0.10916652,0.0053065056,0.031592287
unknown,13.333333015441895,0.004351674,0.112296,0.004320818,0.022011962
unknown,20.83333396911621,0.003906979,0.10850701,0.0037107097,0.017884558
unknown,17.58333396911621,0.004785106,0.10867334,0.0047071488,0.024724565
unknown,4.416666507720947,0.0048392992,0.10888364,0.004414979,0.016263628
unknown,4.583333492279053,0.0068431967,0.1065343,0.0068599274,0.021454364
unknown,16.5,0.0064221276,0.10623454,0.0062607694,0.01995279
unknown,17.0,0.0044533624,0.10915687,0.0047853095,0.037381288
unknown,11.666666984558105,0.0040558428,0.108547814,0.0038331742,0.03621743
unknown,15.333333015441895,0.004058395,0.10898148,0.004428161,0.015972236
unknown,9.333333015441895,0.003992132,0.10863279,0.004705175,0.01767789
unknown,8.333333015441895,0.0041678683,0.10746888,0.0038094562,0.01207971
unknown,8.333333015441895,0.004018042,0.10718614,0.0044734096,0.024261072
unknown,4.166666507720947,0.0041094287,0.10919145,0.004923346,0.02876709
unknown,6.833333492279053,0.00556148,0.11013011,0.0051822984,0.03339325
unknown,6.75,0.0061451336,0.10721866,0.006167176,0.022780612
unknown,10.583333015441895,0.0042564096,0.10873048,0.0047994796,0.019301275
unknown,9.166666984558105,0.0045854053,0.10914566,0.0045854053,0.03580496
unknown,18.91666603088379,0.0042973785,0.10828308,0.0043419297,0.024183083
unknown,4.0,0.0042521204,0.10969681,0.005011161,0.032135047
unknown,4.25,0.0042332076,0.108616665,0.0040626437,0.047090724
unknown,7.083333492279053,0.0040082335,0.11075944,0.0044891094,0.013278913
unknown,9.916666984558105,0.0045105233,0.10797383,0.004944166,0.02671504
