trainer/global_step,_step,lr-AdamW/pg4,lr-AdamW/pg1,lr-AdamW/pg2,_runtime,lr-AdamW/pg3,_timestamp,epoch,train/loss_step,val/age_loss,val/medae,val/recon_loss,val/loss,val/mae,val/r2,train/recon_loss,train/age_loss,train/loss_epoch,train/mae,train/r2,train/medae
219,113,8.76e-06,4.38e-05,4.38e-05,2108.797192246,8.76e-06,1780656645.9983444,,,,,,,,,,,,,,
219,114,8.76e-06,4.38e-05,4.38e-05,2111.086465792,8.76e-06,1780656648.2876394,,,,,,,,,,,,,,
219,115,,,,2113.374797133,,1780656650.5761428,3.0,0.15248176455497742,,,,,,,,,,,,
227,116,,,,2209.957619518,,1780656747.1588285,3.0,,0.13122567534446716,18.981155395507812,0.0,0.13122567534446716,21.380887985229492,0.05098062753677368,,,,,,
227,117,,,,2210.465343382,,1780656747.666463,3.0,,,,,,,,0.0,0.13581542670726776,0.13581542670726776,22.059492111206055,0.010549604892730713,19.125
229,118,9.16e-06,4.58e-05,4.58e-05,2219.964807051,9.16e-06,1780656757.1659093,,,,,,,,,,,,,,
229,119,9.16e-06,4.58e-05,4.58e-05,2222.254330498,9.16e-06,1780656759.4555237,,,,,,,,,,,,,,
229,120,9.16e-06,4.58e-05,4.58e-05,2224.543959434,9.16e-06,1780656761.7452667,,,,,,,,,,,,,,
229,121,9.16e-06,4.58e-05,4.58e-05,2226.835377351,9.16e-06,1780656764.0365005,,,,,,,,,,,,,,
229,122,,,,2229.125591887,,1780656766.3267443,4.0,0.17164719104766846,,,,,,,,,,,,
239,123,9.56e-06,4.78e-05,4.78e-05,2311.505179774,9.56e-06,1780656848.7063305,,,,,,,,,,,,,,
239,124,9.56e-06,4.78e-05,4.78e-05,2313.795676193,9.56e-06,1780656850.9970036,,,,,,,,,,,,,,
239,125,9.56e-06,4.78e-05,4.78e-05,2316.085056963,9.56e-06,1780656853.2862043,,,,,,,,,,,,,,
239,126,9.56e-06,4.78e-05,4.78e-05,2318.374067516,9.56e-06,1780656855.5752494,,,,,,,,,,,,,,
239,127,,,,2320.663123206,,1780656857.864293,4.0,0.1317162662744522,,,,,,,,,,,,
249,128,9.960000000000001e-06,4.9800000000000004e-05,4.9800000000000004e-05,2403.035500033,9.960000000000001e-06,1780656940.2368474,,,,,,,,,,,,,,
249,129,9.960000000000001e-06,4.9800000000000004e-05,4.9800000000000004e-05,2405.325689879,9.960000000000001e-06,1780656942.5268965,,,,,,,,,,,,,,
249,130,9.960000000000001e-06,4.9800000000000004e-05,4.9800000000000004e-05,2407.615635767,9.960000000000001e-06,1780656944.816827,,,,,,,,,,,,,,
249,131,9.960000000000001e-06,4.9800000000000004e-05,4.9800000000000004e-05,2409.904272174,9.960000000000001e-06,1780656947.1054513,,,,,,,,,,,,,,
249,132,,,,2412.19468237,,1780656949.3958216,4.0,0.1595098376274109,,,,,,,,,,,,
259,133,1.036e-05,5.1800000000000005e-05,5.1800000000000005e-05,2494.55899775,1.036e-05,1780657031.760165,,,,,,,,,,,,,,
259,134,1.036e-05,5.1800000000000005e-05,5.1800000000000005e-05,2496.845364351,1.036e-05,1780657034.046501,,,,,,,,,,,,,,
259,135,1.036e-05,5.1800000000000005e-05,5.1800000000000005e-05,2499.131854388,1.036e-05,1780657036.333043,,,,,,,,,,,,,,
259,136,1.036e-05,5.1800000000000005e-05,5.1800000000000005e-05,2501.417814687,1.036e-05,1780657038.6189625,,,,,,,,,,,,,,
259,137,,,,2503.705092779,,1780657040.9063985,4.0,0.09538304060697556,,,,,,,,,,,,
