epoch,validation/loss,validation/cpg_sites_accuracy,train/cpg_sites_cross_entropy_loss_epoch,train/cpg_sites_perplexity_step,lr-AdamW/pg2,train/cpg_sites_accuracy_epoch,_timestamp,validation/cpg_sites_perplexity,_runtime,validation/cpg_sites_cross_entropy_loss,_step,train/cpg_sites_cross_entropy_loss_step,train/cpg_sites_perplexity_epoch,train/cpg_sites_accuracy_step,lr-AdamW/pg1,trainer/global_step,train/loss_epoch,train/loss_step
4.0,8.91153621673584,0.007147030904889107,,,,,1769778307.410464,7417.05029296875,1616.663643627,8.91153621673584,222,,,,,429,,
4.0,,,8.942156791687012,,,0.0004972987226210535,1769778310.1963477,,1619.449769747,,223,,7648.16943359375,,,429,8.942156791687012,
,,,,,1.0975e-05,,1769778342.1934423,,1651.446738942,,224,,,,1.0975e-05,439,,
,,,,,1.0975e-05,,1769778343.0537384,,1652.306955882,,225,,,,1.0975e-05,439,,
,,,,,1.0975e-05,,1769778343.9138775,,1653.167065371,,226,,,,1.0975e-05,439,,
,,,,,1.0975e-05,,1769778344.7742758,,1654.027551946,,227,,,,1.0975e-05,439,,
5.0,,,,7484.49267578125,,,1769778345.6359324,,1654.889172095,,228,8.920588493347168,,0.0051388670690357685,,439,,8.920588493347168
,,,,,1.1225e-05,,1769778376.5917869,,1685.845139228,,229,,,,1.1225e-05,449,,
,,,,,1.1225e-05,,1769778377.451164,,1686.704372206,,230,,,,1.1225e-05,449,,
,,,,,1.1225e-05,,1769778378.3114748,,1687.56467356,,231,,,,1.1225e-05,449,,
,,,,,1.1225e-05,,1769778379.1715083,,1688.424695704,,232,,,,1.1225e-05,449,,
5.0,,,,7428.9248046875,,,1769778380.0324535,,1689.285655578,,233,8.91313648223877,,0.007358953356742859,,449,,8.91313648223877
,,,,,1.1475000000000001e-05,,1769778410.9886527,,1720.241864994,,234,,,,1.1475000000000001e-05,459,,
,,,,,1.1475000000000001e-05,,1769778411.8482711,,1721.101416318,,235,,,,1.1475000000000001e-05,459,,
,,,,,1.1475000000000001e-05,,1769778412.7087421,,1721.961880854,,236,,,,1.1475000000000001e-05,459,,
,,,,,1.1475000000000001e-05,,1769778413.5688472,,1722.82202611,,237,,,,1.1475000000000001e-05,459,,
5.0,,,,7401.38818359375,,,1769778414.429656,,1723.682862515,,238,8.909422874450684,,0.008122744038701057,,459,,8.909422874450684
,,,,,1.1725e-05,,1769778445.388934,,1754.642163995,,239,,,,1.1725e-05,469,,
